L 04/05/2017 - 00:03:40: SourceMod error session started
L 04/05/2017 - 00:03:40: Info (map "emp_streetsoffire") (file "errors_20170405.log")
L 04/05/2017 - 00:46:15: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:46:42: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:47:18: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:47:43: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:47:48: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:47:50: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:47:53: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:47:58: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:48:11: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:48:12: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:48:12: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:48:13: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:48:20: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:48:45: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:49:16: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:49:59: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:50:19: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:50:29: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:50:46: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:50:47: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:50:52: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:50:55: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:50:57: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:50:58: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:51:38: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:51:39: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:52:16: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:53:17: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:53:38: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:53:45: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:54:02: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:54:47: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:54:55: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:55:00: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:55:37: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:57:39: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:57:41: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:57:47: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:57:49: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:58:07: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:58:44: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:59:06: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 00:59:57: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:00:06: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:00:09: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:00:40: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:00:55: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:01:03: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:01:09: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:01:33: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:01:34: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:01:53: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:02:14: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:02:27: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:02:30: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:02:32: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:02:32: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:03:13: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:03:15: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:03:22: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:03:40: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:04:26: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:04:40: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:05:13: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:05:44: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:06:14: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:06:40: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:06:47: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:06:49: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:07:32: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:07:34: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:07:37: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:07:37: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:07:51: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:08:52: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:08:58: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:09:38: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:10:17: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:10:46: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:12:49: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:13:10: [SM] Exception reported: Invalid timer handle 38e3026e (error 1)
L 04/05/2017 - 01:13:10: [SM] Blaming: umc-emp-mapvote.smx()
L 04/05/2017 - 01:13:10: [SM] Call stack trace:
L 04/05/2017 - 01:13:10: [SM]   [0] KillTimer
L 04/05/2017 - 01:13:10: [SM]   [1] Line 686, D:\Documents\My Folder\Empires Custom UMC Stuff\SourceMod\Workspace\umc-emp-mapvote.sp::UMC_OnNextmapSet()
L 04/05/2017 - 01:13:10: [SM]   [3] Call_Finish
L 04/05/2017 - 01:13:10: [SM]   [4] Line 4834, D:\Documents\My Folder\Empires Custom UMC Stuff\SourceMod\Workspace\umc-core.sp::DoMapChange()
L 04/05/2017 - 01:13:10: [SM]   [5] Line 4267, D:\Documents\My Folder\Empires Custom UMC Stuff\SourceMod\Workspace\umc-core.sp::Handle_MapVoteWinner()
L 04/05/2017 - 01:13:10: [SM]   [6] Line 3819, D:\Documents\My Folder\Empires Custom UMC Stuff\SourceMod\Workspace\umc-core.sp::ProcessVoteWinner()
L 04/05/2017 - 01:13:10: [SM]   [7] Line 3795, D:\Documents\My Folder\Empires Custom UMC Stuff\SourceMod\Workspace\umc-core.sp::ProcessVoteResults()
L 04/05/2017 - 01:13:10: [SM]   [8] Line 1277, D:\Documents\My Folder\Empires Custom UMC Stuff\SourceMod\Workspace\umc-core.sp::Native_UMCVoteManagerComplete()
L 04/05/2017 - 01:13:10: [SM]   [10] UMC_VoteManagerVoteCompleted
L 04/05/2017 - 01:13:10: [SM]   [11] Line 2309, D:\Documents\My Folder\Empires Custom UMC Stuff\SourceMod\Workspace\umc-core.sp::Handle_MapVoteResults()
L 04/05/2017 - 01:13:11: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:13:11: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:13:15: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:13:15: Error log file session closed.
L 04/05/2017 - 01:13:15: SourceMod error session started
L 04/05/2017 - 01:13:15: Info (map "emp_traders_a8") (file "errors_20170405.log")
L 04/05/2017 - 01:13:15: [SM] Fatal error encountered parsing translation file "maprate.phrases.txt"
L 04/05/2017 - 01:13:15: [SM] Error (line 0, column 0): Stream failed to open
L 04/05/2017 - 01:13:15: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:13:15: [maprate.smx] Error establishing database connection: [1049]: Unknown database 'sourcemod'
L 04/05/2017 - 01:13:15: [maprate.smx] FATAL: An error occurred while connecting to the database.
L 04/05/2017 - 01:13:15: [SM] Exception reported: An error occurred while connecting to the database.
L 04/05/2017 - 01:13:15: [SM] Blaming: maprate.smx()
L 04/05/2017 - 01:13:15: [SM] Call stack trace:
L 04/05/2017 - 01:13:15: [SM]   [0] SetFailState
L 04/05/2017 - 01:13:15: [SM]   [1] Line 90, /home/forums/content/files/6/4/8/1/2/114450.attach::OnConfigsExecuted()
L 04/05/2017 - 01:13:15: [umc-maprate-reweight.smx] Error establishing a database connection: [1049]: Unknown database 'sourcemod'
L 04/05/2017 - 01:13:18: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:13:18: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:13:21: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:13:22: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:13:22: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:13:24: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:13:28: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:13:28: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:13:33: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:13:37: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:13:49: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:13:51: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:14:03: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:15:24: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:18:36: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:18:56: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:20:19: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:20:52: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:21:23: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:23:14: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:23:29: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:24:00: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:24:07: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:24:27: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:24:40: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:24:57: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:25:06: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:26:25: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:26:49: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:26:54: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:26:57: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:27:12: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:27:13: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:27:50: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:28:06: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:28:06: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:28:28: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:28:34: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:28:59: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:29:17: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:29:42: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:29:47: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:29:47: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:30:20: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:30:35: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:30:54: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:31:18: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:31:29: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:31:46: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:31:51: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:32:00: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:32:27: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:33:02: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:33:17: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:33:23: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:33:27: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:33:40: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:34:06: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:34:27: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:34:43: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:34:45: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:35:34: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:36:49: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:37:50: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:38:09: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:38:11: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:38:29: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:38:57: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:39:57: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:40:34: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:41:31: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:42:01: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:42:01: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:42:12: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:42:29: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:43:39: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:44:46: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:48:14: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:49:37: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:49:41: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:50:13: [SM] Exception reported: Invalid timer handle 43030257 (error 1)
L 04/05/2017 - 01:50:13: [SM] Blaming: umc-emp-mapvote.smx()
L 04/05/2017 - 01:50:13: [SM] Call stack trace:
L 04/05/2017 - 01:50:13: [SM]   [0] KillTimer
L 04/05/2017 - 01:50:13: [SM]   [1] Line 686, D:\Documents\My Folder\Empires Custom UMC Stuff\SourceMod\Workspace\umc-emp-mapvote.sp::UMC_OnNextmapSet()
L 04/05/2017 - 01:50:13: [SM]   [3] Call_Finish
L 04/05/2017 - 01:50:13: [SM]   [4] Line 4834, D:\Documents\My Folder\Empires Custom UMC Stuff\SourceMod\Workspace\umc-core.sp::DoMapChange()
L 04/05/2017 - 01:50:13: [SM]   [5] Line 4267, D:\Documents\My Folder\Empires Custom UMC Stuff\SourceMod\Workspace\umc-core.sp::Handle_MapVoteWinner()
L 04/05/2017 - 01:50:13: [SM]   [6] Line 3819, D:\Documents\My Folder\Empires Custom UMC Stuff\SourceMod\Workspace\umc-core.sp::ProcessVoteWinner()
L 04/05/2017 - 01:50:13: [SM]   [7] Line 3795, D:\Documents\My Folder\Empires Custom UMC Stuff\SourceMod\Workspace\umc-core.sp::ProcessVoteResults()
L 04/05/2017 - 01:50:13: [SM]   [8] Line 1277, D:\Documents\My Folder\Empires Custom UMC Stuff\SourceMod\Workspace\umc-core.sp::Native_UMCVoteManagerComplete()
L 04/05/2017 - 01:50:13: [SM]   [10] UMC_VoteManagerVoteCompleted
L 04/05/2017 - 01:50:13: [SM]   [11] Line 2309, D:\Documents\My Folder\Empires Custom UMC Stuff\SourceMod\Workspace\umc-core.sp::Handle_MapVoteResults()
L 04/05/2017 - 01:50:18: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:50:18: Error log file session closed.
L 04/05/2017 - 01:50:18: SourceMod error session started
L 04/05/2017 - 01:50:18: Info (map "emp_temple_b3a") (file "errors_20170405.log")
L 04/05/2017 - 01:50:18: [SM] Fatal error encountered parsing translation file "maprate.phrases.txt"
L 04/05/2017 - 01:50:18: [SM] Error (line 0, column 0): Stream failed to open
L 04/05/2017 - 01:50:18: [SM] Exception reported: Plugin not runnable
L 04/05/2017 - 01:50:18: [maprate.smx] Error establishing database connection: [1049]: Unknown database 'sourcemod'
L 04/05/2017 - 01:50:18: [maprate.smx] FATAL: An error occurred while connecting to the database.
L 04/05/2017 - 01:50:18: [SM] Exception reported: An error occurred while connecting to the database.
L 04/05/2017 - 01:50:18: [SM] Blaming: maprate.smx()
L 04/05/2017 - 01:50:18: [SM] Call stack trace:
L 04/05/2017 - 01:50:18: [SM]   [0] SetFailState
